Vbias,lp,wn,wp,r_out,gm_m0,gm_m1
0.4444444,0.00004,0.000015,0.00018,19450000,0.00005499,0.00004801
0.4444444,0.00004,0.000005,0.002,21740,0.00002662,0.00001079
0.4444444,0.00004,0.0000075,0.002,25370,0.00003993,0.000017
0.4444444,0.00004,0.00001,0.002,31570,0.00005321,0.00002411
0.4444444,0.00004,0.0000125,0.002,45470,0.00006637,0.00003278
0.4444444,0.000015,0.000015,0.002,127200,0.00006579,0.0000453
0.4444444,0.000015,0.000005,0.00012,74570,0.00002662,0.00001232
0.4444444,0.000015,0.0000075,0.00012,14600000,0.00003994,0.00002456
0.4444444,0.000015,0.00001,0.00012,39580000,0.00005323,0.00002475
0.4444444,0.000015,0.0000125,0.00012,39630000,0.00006649,0.00002475
0.4444444,0.00002125,0.000015,0.00012,39660000,0.0000777,0.00002475
0.4444444,0.00002125,0.000005,0.00014,54090,0.00002663,0.0000118
0.4444444,0.00002125,0.0000075,0.00014,122900,0.00003995,0.00002103
0.4444444,0.00002125,0.00001,0.00014,33840000,0.00005325,0.00002887
0.4444444,0.00002125,0.0000125,0.00014,33940000,0.00006653,0.00002887
0.4444444,0.0000275,0.000015,0.00014,33970000,0.00007973,0.00002887
0.4444444,0.0000275,0.000005,0.00016,42890,0.00002659,0.00001147
0.4444444,0.0000275,0.0000075,0.00016,68570,0.00003961,0.00001938
0.4444444,0.0000275,0.00001,0.00016,11380000,0.00003634,0.00003275
0.4444444,0.0000275,0.0000125,0.00016,29660000,0.00003473,0.00003299
0.4444444,0.00003375,0.000015,0.00016,29710000,0.00003394,0.000033
0.4444444,0.00003375,0.000005,0.00018,35700,0.0000266,0.00001125
0.4444444,0.00003375,0.0000075,0.00018,49760,0.00003987,0.0000185
0.4444444,0.00003375,0.00001,0.00018,119800,0.00004472,0.00002891
0.4444444,0.00003375,0.0000125,0.00018,26300000,0.00004169,0.00003711
0.4444444,0.00004,0.000015,0.00018,26380000,0.00004035,0.00003712
0.4444444,0.00004,0.000005,0.002,30650,0.00002661,0.00001109
0.4444444,0.00004,0.0000075,0.002,39630,0.0000399,0.00001793
0.4444444,0.00004,0.00001,0.002,65080,0.00005282,0.00002675
0.4444444,0.00004,0.0000125,0.002,9313000,0.0000494,0.00004094
0.4444444,0.000015,0.000015,0.002,23720000,0.00004716,0.00004124
0.4444444,0.000015,0.000005,0.00012,143400,0.00002662,0.00001355
0.4444444,0.000015,0.0000075,0.00012,49230000,0.00003993,0.00002015
0.4444444,0.000015,0.00001,0.00012,49340000,0.0000532,0.00002016
0.4444444,0.000015,0.0000125,0.00012,49380000,0.00006603,0.00002016
0.4444444,0.00002125,0.000015,0.00012,49400000,0.00006264,0.00002016
0.4444444,0.00002125,0.000005,0.00014,84660,0.00002657,0.00001255
0.4444444,0.00002125,0.0000075,0.00014,41860000,0.00003037,0.0000235
0.4444444,0.00002125,0.00001,0.00014,42250000,0.00002837,0.00002352
0.4444444,0.00002125,0.0000125,0.00014,42300000,0.00002759,0.00002352
0.4444444,0.0000275,0.000015,0.00014,42330000,0.00002717,0.00002352
0.4444444,0.0000275,0.000005,0.00016,62190,0.00002659,0.00001202
0.4444444,0.0000275,0.0000075,0.00016,227300,0.00003782,0.00002241
0.4444444,0.0000275,0.00001,0.00016,36920000,0.0000341,0.00002687
0.4444444,0.0000275,0.0000125,0.00016,36990000,0.00003277,0.00002688
0.4444444,0.00003375,0.000015,0.00016,37020000,0.0000321,0.00002688
0.4444444,0.00003375,0.000005,0.00018,49730,0.0000266,0.00001168
0.4444444,0.00003375,0.0000075,0.00018,95820,0.00003984,0.00002035
0.4444444,0.00003375,0.00001,0.00018,32710000,0.00004049,0.00003023
0.4444444,0.00003375,0.0000125,0.00018,32860000,0.00003825,0.00003024
0.4444444,0.00004,0.000015,0.00018,32890000,0.00003721,0.00003024
0.4444444,0.00004,0.000005,0.002,41650,0.00002661,0.00001144
0.4444444,0.00004,0.0000075,0.002,64830,0.00003988,0.00001922
0.4444444,0.00004,0.00001,0.002,1283000,0.00004783,0.00003249
0.4444444,0.00004,0.0000125,0.002,29540000,0.00004413,0.00003359
0.4444444,0.000015,0.000015,0.002,29590000,0.00004256,0.0000336
0.4444444,0.000015,0.000005,0.00012,1166000,0.00002661,0.00001597
0.4444444,0.000015,0.0000075,0.00012,59030000,0.0000399,0.000017
0.4444444,0.000015,0.00001,0.00012,59110000,0.00005303,0.000017
0.4444444,0.000015,0.0000125,0.00012,59140000,0.00005061,0.00001701
0.4444444,0.00002125,0.000015,0.00012,59160000,0.00004819,0.00001701
0.4444444,0.00002125,0.000005,0.00014,154900,0.00002657,0.0000137
0.4444444,0.00002125,0.0000075,0.00014,50530000,0.00002973,0.00001984
0.4444444,0.00002125,0.00001,0.00014,50640000,0.00002785,0.00001984
0.4444444,0.00002125,0.0000125,0.00014,50670000,0.00002711,0.00001984
0.4444444,0.0000275,0.000015,0.00014,50700000,0.00002671,0.00001984
0.4444444,0.0000275,0.000005,0.00016,93660,0.00002659,0.00001273
0.4444444,0.0000275,0.0000075,0.00016,44050000,0.00003587,0.00002266
0.4444444,0.0000275,0.00001,0.00016,44270000,0.00003261,0.00002267
0.4444444,0.0000275,0.0000125,0.00016,44320000,0.00003144,0.00002267
0.4444444,0.00003375,0.000015,0.00016,44350000,0.00003084,0.00002267
0.4444444,0.00003375,0.000005,0.00018,69540,0.0000266,0.0000122
0.4444444,0.00003375,0.0000075,0.00018,798100,0.0000398,0.00002399
0.4444444,0.00003375,0.00001,0.00018,39320000,0.00003776,0.0000255
0.4444444,0.00003375,0.0000125,0.00018,39380000,0.00003597,0.00002551
0.4444444,0.00004,0.000015,0.00018,39410000,0.0000351,0.00002551
0.4444444,0.00004,0.000005,0.002,56000,0.0000266,0.00001185
0.4444444,0.00004,0.0000075,0.002,137700,0.00003987,0.0000213
0.4444444,0.00004,0.00001,0.002,35330000,0.00004355,0.00002834
0.4444444,0.00004,0.0000125,0.002,35420000,0.00004076,0.00002834
0.4444444,0.000015,0.000015,0.002,35450000,0.00003951,0.00002834
0.4444444,0.000015,0.000005,0.00012,346200000,0.000001333,0.000001825
0.4444444,0.000015,0.0000075,0.00012,346200000,0.000001799,0.000001825
0.4444444,0.000015,0.00001,0.00012,346200000,0.000002265,0.000001825
